Pin image,Title,Description,Destination link,Suggested board
pin-12.jpg,"Cotton candy sky · Santa Cruz, California","Cotton candy sky — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Santa Cruz Coast
pin-13.jpg,"Crimson over the bay · Santa Cruz, California","Crimson over the bay — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Santa Cruz Coast
pin-14.jpg,"Pastel evening on the river · Santa Cruz, California","Pastel evening on the river — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Santa Cruz Coast
pin-15.jpg,"Boardwalk after dark · Santa Cruz, California","Boardwalk after dark — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Santa Cruz Boardwalk
pin-16.jpg,"Blue water on the rocks · Santa Cruz, California","Blue water on the rocks — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Santa Cruz Coast
pin-17.jpg,"Cirrus over an empty beach · Santa Cruz, California","Cirrus over an empty beach — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Santa Cruz Coast
pin-18.jpg,"Creek in the redwoods · Santa Cruz, California","Creek in the redwoods — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Santa Cruz Nature
pin-19.jpg,"Amanita on the forest floor · Santa Cruz, California","Amanita on the forest floor — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Santa Cruz Nature
pin-20.jpg,"Sea foam, Christmas morning · Santa Cruz, California","Sea foam, Christmas morning — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Santa Cruz Coast
pin-21.jpg,"Last light on the water · Santa Cruz, California","Last light on the water — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Santa Cruz Coast
pin-22.jpg,"Silver surf at sunset · Santa Cruz, California","Silver surf at sunset — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Sunset Wallpapers
pin-23.jpg,"Its Beach and the bluffs · Santa Cruz, California","Its Beach and the bluffs — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Santa Cruz Coast
pin-24.jpg,"Storm light over the rides · Santa Cruz, California","Storm light over the rides — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Santa Cruz Coast
pin-25.jpg,"Redwoods and open lawn · Santa Cruz, California","Redwoods and open lawn — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Santa Cruz Nature
pin-26.jpg,"Dusk from the river mouth · Santa Cruz, California","Dusk from the river mouth — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Sunset Wallpapers
pin-27.jpg,"Evening on the wharf · Santa Cruz, California","Evening on the wharf — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Santa Cruz Boardwalk
pin-28.jpg,"The wharf at last light · Santa Cruz, California","The wharf at last light — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Santa Cruz Boardwalk
pin-29.jpg,"Quiet morning, empty sand · Santa Cruz, California","Quiet morning, empty sand — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Santa Cruz Coast
pin-30.jpg,"Winter foam on the beach · Santa Cruz, California","Winter foam on the beach — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Santa Cruz Coast
pin-31.jpg,"Sundown over the point · Santa Cruz, California","Sundown over the point — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Santa Cruz Coast
pin-32.jpg,"Boulders at blue hour · Santa Cruz, California","Boulders at blue hour — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Santa Cruz Coast
pin-33.jpg,"Moonrise over the lights · Santa Cruz, California","Moonrise over the lights — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Sunset Wallpapers
pin-34.jpg,"Soft dusk on the boardwalk · Santa Cruz, California","Soft dusk on the boardwalk — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Santa Cruz Boardwalk
pin-35.jpg,"Evening tide, pier lights · Santa Cruz, California","Evening tide, pier lights — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Santa Cruz Boardwalk
pin-36.jpg,"Sunrise over the pool · Santa Cruz, California","Sunrise over the pool — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Santa Cruz Coast
pin-37.jpg,"First light on the horizon · Santa Cruz, California","First light on the horizon — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Santa Cruz Coast
pin-38.jpg,"Dawn breaking, orange line · Santa Cruz, California","Dawn breaking, orange line — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Sunset Wallpapers
pin-39.jpg,"Surf against the rocks · Santa Cruz, California","Surf against the rocks — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Santa Cruz Coast
pin-40.jpg,"The wharf on a clear day · Santa Cruz, California","The wharf on a clear day — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Santa Cruz Boardwalk
pin-41.jpg,"Low sun, long beach · Santa Cruz, California","Low sun, long beach — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Santa Cruz Coast
pin-42.jpg,"Mushrooms after the rain · Santa Cruz, California","Mushrooms after the rain — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Santa Cruz Nature
pin-43.jpg,"Green hills, gray sky · Santa Cruz, California","Green hills, gray sky — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Santa Cruz Coast
pin-44.jpg,"Overcast over the rides · Santa Cruz, California","Overcast over the rides — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Santa Cruz Coast
pin-45.jpg,"Flat light on the sand · Santa Cruz, California","Flat light on the sand — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Santa Cruz Coast
pin-46.jpg,"Dune grass at dusk · Santa Cruz, California","Dune grass at dusk — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Sunset Wallpapers
pin-47.jpg,"Winter afternoon, wide beach · Santa Cruz, California","Winter afternoon, wide beach — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Santa Cruz Coast
pin-48.jpg,"Pre-dawn glow · Santa Cruz, California","Pre-dawn glow — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Sunset Wallpapers
pin-49.jpg,"New Year gray · Santa Cruz, California","New Year gray — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Santa Cruz Coast
pin-50.jpg,"Christmas dusk · Santa Cruz, California","Christmas dusk — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Sunset Wallpapers
pin-51.jpg,"Early light, low tide · Santa Cruz, California","Early light, low tide — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Santa Cruz Coast
pin-52.jpg,"Pug in the sea foam · Santa Cruz, California","Pug in the sea foam — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Santa Cruz Coast
pin-53.jpg,"Boardwalk lights at blue dusk · Santa Cruz, California","Boardwalk lights at blue dusk — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Santa Cruz Boardwalk
pin-54.jpg,"Storm clouds over the dawn beach · Santa Cruz, California","Storm clouds over the dawn beach — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Sunset Wallpapers
pin-55.jpg,"White surf under drifting clouds · Santa Cruz, California","White surf under drifting clouds — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Santa Cruz Coast
pin-56.jpg,"Sea foam blankets the dusk shore · Santa Cruz, California","Sea foam blankets the dusk shore — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Sunset Wallpapers
pin-57.jpg,"Tiny mushrooms on a mossy log · Santa Cruz, California","Tiny mushrooms on a mossy log — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Santa Cruz Nature
pin-58.jpg,"Scarlet fly agaric among pine needles · Santa Cruz, California","Scarlet fly agaric among pine needles — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Santa Cruz Nature
pin-59.jpg,"Sun glinting off the winter tide · Santa Cruz, California","Sun glinting off the winter tide — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Santa Cruz Coast
pin-60.jpg,"Amber afterglow over the pier · Santa Cruz, California","Amber afterglow over the pier — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Santa Cruz Boardwalk
pin-61.jpg,"Tidal creek under a grey sky · Santa Cruz, California","Tidal creek under a grey sky — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Santa Cruz Nature
pin-62.jpg,"Fire on the horizon at dawn · Santa Cruz, California","Fire on the horizon at dawn — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Sunset Wallpapers
pin-63.jpg,"Pink dawn above the quiet pool · Santa Cruz, California","Pink dawn above the quiet pool — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Sunset Wallpapers
pin-64.jpg,"Orange dawn on a glassy sea · Santa Cruz, California","Orange dawn on a glassy sea — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Sunset Wallpapers
pin-65.jpg,"The long wharf under blue sky · Santa Cruz, California","The long wharf under blue sky — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Santa Cruz Boardwalk
pin-66.jpg,"Blazing dusk behind the ferris wheel · Santa Cruz, California","Blazing dusk behind the ferris wheel — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Santa Cruz Boardwalk
pin-67.jpg,"Sun sinking behind the distant pier · Santa Cruz, California","Sun sinking behind the distant pier — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Santa Cruz Boardwalk
pin-68.jpg,"Amber twilight over rolling surf · Santa Cruz, California","Amber twilight over rolling surf — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Sunset Wallpapers
pin-69.jpg,"Crescent moon above the amber horizon · Santa Cruz, California","Crescent moon above the amber horizon — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Sunset Wallpapers
pin-70.jpg,"Rose clouds over the bluff houses · Santa Cruz, California","Rose clouds over the bluff houses — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Sunset Wallpapers
pin-71.jpg,"Weathered sea caves in the cliff · Santa Cruz, California","Weathered sea caves in the cliff — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Santa Cruz Nature
pin-72.jpg,"Tall redwoods against a summer sky · Santa Cruz, California","Tall redwoods against a summer sky — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Santa Cruz Nature
pin-73.jpg,"Sun setting behind the roller coaster · Santa Cruz, California","Sun setting behind the roller coaster — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Santa Cruz Boardwalk
pin-74.jpg,"Grey sky over the boardwalk rides · Santa Cruz, California","Grey sky over the boardwalk rides — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Santa Cruz Boardwalk
pin-75.jpg,"Boardwalk mirrored in still water · Santa Cruz, California","Boardwalk mirrored in still water — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Santa Cruz Boardwalk
pin-76.jpg,"Pastel dusk over the river trestle · Santa Cruz, California","Pastel dusk over the river trestle — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Sunset Wallpapers
pin-77.jpg,"Cirrus streaks over the summer beach · Santa Cruz, California","Cirrus streaks over the summer beach — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Santa Cruz Coast
pin-78.jpg,"Purple sunset over the glowing boardwalk · Santa Cruz, California","Purple sunset over the glowing boardwalk — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Santa Cruz Boardwalk
